Question ID,Student ID,Teacher ID,Status,Counted,Text,File ID
85,5570836998,,open,True,بسم الله,
87,5570836998,8420041691,taken,True,📷 صورة,AgACAgQAAxkBAAMkab2wlLOAD3IxuQ69a2unnvFETwwAAuoMaxurE_FRwvW6Ce72hZwBAAMCAAN5AAM6BA
89,5570836998,,open,True,لا مش فاهم ممكن تعيد,
